uid	lat	lon	state_abbrev	state_id	state_name	city_name	x	dist_ny	dist_dc	dist_reserve	id_reserve	dist_city	id_city
1	33.1008	-85.5297	AL	1	Alabama	Abanda	ABANDA	1327.8221	999.8606	431.4928	322590	42.2823	10
2	31.5664	-85.2514	AL	1	Alabama	Abbeville	ABBEVILLE	1431.0672	1104.6021	394.7271	322590	120.7831	16
3	33.5903	-86.9492	AL	1	Alabama	Adamsville	ADAMSVILLE	1392.9877	1067.5323	500.1275	1629985	41.5172	7
4	34.2000	-87.1778	AL	1	Alabama	Addison	ADDISON	1369.1567	1046.4975	464.9330	509453	48.0317	8
5	32.8764	-87.7408	AL	1	Alabama	Akron	AKRON	1500.1099	1174.1327	392.6742	1629985	47.5331	12
6	34.0223	-86.0455	AL	1	Alabama	Alabama City	ALABAMACITY	1297.6360	971.7525	467.1713	509453	25.4189	15
7	33.2311	-86.8236	AL	1	Alabama	Alabaster	ALABASTER	1409.0116	1082.4275	476.6061	1629985	41.5172	3
8	34.6000	-86.9778	AL	1	Alabama	Albany	ALBANY	1328.5876	1007.3642	417.2724	509453	44.4675	17
9	34.2653	-86.2111	AL	1	Alabama	Albertville	ALBERTVILLE	1293.1904	968.4589	441.4350	509453	27.3609	19
10	32.9331	-85.9361	AL	1	Alabama	Alexander City	ALEXANDERCITY	1368.3494	1040.4640	464.2475	322590	42.2823	1
11	33.7658	-85.8842	AL	1	Alabama	Alexandria	ALEXANDRIA	1303.9723	977.1664	486.3644	322590	12.5349	18
12	33.1261	-88.1542	AL	1	Alabama	Aliceville	ALICEVILLE	1513.0252	1188.4947	396.1244	1629985	47.5331	5
13	33.9042	-86.5164	AL	1	Alabama	Allgood	ALLGOOD	1339.9450	1014.6133	484.5176	509453	22.7971	15
14	34.6942	-88.1103	AL	1	Alabama	Allsboro	ALLSBORO	1409.4400	1092.2039	445.6173	509453	80.8402	17
15	34.0292	-86.3206	AL	1	Alabama	Altoona	ALTOONA	1317.1486	991.8255	468.5094	509453	22.7971	13
16	31.3000	-86.4833	AL	1	Alabama	Andalusia	ANDALUSIA	1532.1531	1204.4807	375.2455	1629985	120.7831	2
17	34.9200	-87.2703	AL	1	Alabama	Anderson	ANDERSON	1331.1991	1012.7632	391.4581	509453	44.4675	8
18	33.6611	-85.8333	AL	1	Alabama	Anniston	ANNISTON	1307.8083	980.7216	477.6909	322590	12.5349	11
19	34.3278	-86.4986	AL	1	Alabama	Arab	ARAB	1310.2390	986.4313	437.7920	509453	27.3609	9
20	33.5761	-85.5172	AL	1	Alabama	Arbacoochee	ARBACOOCHEE	1291.6978	964.1255	446.9389	322590	30.8105	18
