state_name	state_abbrev	state_id	county_name	county_id	city_name	x	feature_id	lat	lon	year	pop1850	pop1860	pop1870	pop1880	pop1890	pop1900	pop1910
California	CA	6	Los Angeles	37	Los Angeles	LOSANGELES	1662328	34.0522	-118.2437	1900	1610	4385	5728	11183	50395	102479	319198
California	CA	6	San Francisco	75	San Francisco	SANFRANCISCO	277593	37.7750	-122.4194	1871	30000	56802	149473	233959	298997	342782	416912
Colorado	CO	8	Denver	31	Denver	DENVER	201738	39.7392	-104.9847	1900		4749	4759	35629	106713	133859	213381
Colorado	CO	8	Pueblo	101	Pueblo	PUEBLO	204798	38.2669	-104.6203	1907			666	3217	24558	28157	41747
District of Columbia	DC	11	Dist Columbia	1	Washington	WASHINGTON	531871	38.8951	-77.0364	1868	40001	61122	109199	147293	230392	278718	331069
Georgia	GA	13	Chatham	51	Savannah	SAVANNAH	322590	32.0167	-81.1167	1895	15312	22292	28235	30709	43189	54244	65064
Illinois	IL	17	Cook	31	Chicago	CHICAGO	423587	41.8500	-87.6501	1868	29963	112172	298977	503185	1099850	1698575	2185283
Indiana	IN	18	Marion	97	Indianapolis	INDIANAPOLIS	452890	39.7684	-86.1580	1899	8091	18611	48244	75056	105436	169164	233650
Iowa	IA	19	Linn	113	Cedar Rapids	CEDARRAPIDS	465941	41.9831	-91.6686	1903		1830	5940	10104	18020	25656	32811
Iowa	IA	19	Warren	153	Des Moines	DESMOINES	465961	41.5908	-93.6208	1890	502	3965	12035	22408	50093	62139	86368
Iowa	IA	19	Dubuque	61	Dubuque	DUBUQUE	456040	42.5044	-90.6869	1903	3108	13000	18434	25254	30311	36297	38494
Kansas	KS	20	Wyandotte	209	Kansas City	KANSASCITY	478635	39.1067	-94.6764	1901			2940	3200	38316	51418	82331
Kansas	KS	20	Leavenworth	103	Leavenworth	LEAVENWORTH	478411	39.3111	-94.9225	1868		7429	17873	16546	19768	20735	19363
Kansas	KS	20	Sedgwick	173	Wichita	WICHITA	473862	37.6889	-97.3361	1903			689	4911	23853	24671	52450
Kentucky	KY	21	Jefferson	111	Louisville	LOUISVILLE	509453	38.2253	-85.7417	1868	43194	68033	100753	123758	161129	204731	223928
Louisiana	LA	22	Orleans Parish	71	New Orleans	NEWORLEANS	1629985	29.9546	-90.0751	1868	116375	168675	191418	216090	242039	287104	339075
Maryland	MD	24	Baltimore city	510	Baltimore	BALTIMORE	597040	39.2904	-76.6122	1868	169054	212418	267354	332313	434439	508957	558485
Massachusetts	MA	25	Suffolk	25	Boston	BOSTON	617565	42.3584	-71.0598	1868	136881	177840	250526	362839	448477	560892	670585
Michigan	MI	26	Wayne	163	Detroit	DETROIT	1617959	42.3314	-83.0458	1868	21019	45619	79577	116340	205876	285704	465766
Minnesota	MN	27	Hennepin	53	Minneapolis	MINNEAPOLIS	655030	44.9800	-93.2638	1890		2564	13066	46887	164738	202718	301408
Minnesota	MN	27	Ramsey	123	Saint Paul	STPAUL	662851	44.9442	-93.0936	1890	1112	10401	20030	41473	133156	163065	214744
Missouri	MO	29	Cass	95	Kansas City	KANSASCITY	748198	39.0997	-94.5783	1887		4418	32260	55785	132716	163752	248381
Missouri	MO	29	Buchanan	21	St. Joseph	STJOSEPH	730205	39.7581	-94.8367	1887		8932	19565	32431	52324	102979	77403
Missouri	MO	29	St. Louis city	510	St. Louis	STLOUIS	765765	38.6273	-90.1979	1868	77860	160773	310864	350518	451770	575238	687029
Nebraska	NE	31	Lancaster	109	Lincoln	LINCOLN	837279	40.8106	-96.6803	1893			2441	13003	55164	40169	43973
Nebraska	NE	31	Douglas	55	Omaha	OMAHA	835483	41.2500	-96.0000	1887		1883	16083	30518	140452	102555	124096
New York	NY	36	Albany	1	Albany	ALBANY	977310	42.6525	-73.7572	1868	50763	62367	69422	90758	94923	94151	101253
New York	NY	36	Kings	47	Brooklyn	BROOKLYN	1783503	40.6501	-73.9496	1890	96838	266661	396099	566663	806343		
Ohio	OH	39	Hamilton	61	Cincinnati	CINCINNATI	1066650	39.1035	-84.5153	1868	115435	161044	216239	255139	296908	325902	363591
Ohio	OH	39	Cuyahoga	35	Cleveland	CLEVELAND	1066654	41.4995	-81.6954	1868	17034	43417	92829	160146	261353	381768	560653
Ohio	OH	39	Pickaway	49	Columbus	COLUMBUS	1080996	39.9833	-82.9833	1900	17882	18554	31274	51647	88150	125560	181511
Oregon	OR	41	Clackamas	51	Portland	PORTLAND	1136645	45.5200	-122.6819	1899		2874	8293	17577	46385	90426	207214
Pennsylvania	PA	42	Philadelphia	101	Philadelphia	PHILADELPHIA	1209052	39.9523	-75.1638	1868	121376	565529	674622	847170	1046964	1293697	1549008
Pennsylvania	PA	42	Allegheny	3	Pittsburgh	PITTSBURG	1213644	40.4406	-79.9959	1868	67863	77923	139256	235071	343904	451512	533905
Texas	TX	48	Dallas	113	Dallas	DALLAS	1380944	32.7831	-96.8067	1902				10358	38067	42638	92104
Texas	TX	48	Wise	439	Fort Worth	FORTWORTH	1380947	32.7574	-97.3332	1904				6663	23076	26668	73312
Texas	TX	48	Galveston	167	Galveston	GALVESTON	1377745	29.2811	-94.8258	1906	4177	7307	13818	22248	29084	37789	36981
Texas	TX	48	Harris	201	Houston	HOUSTON	1380948	29.7633	-95.3633	1896	2396	4845	9382	16513	27557	44633	78800
Texas	TX	48	Bexar	29	San Antonio	SANANTONIO	1380951	29.4241	-98.4936	1907	3488	8235	12256	20550	37673	53321	96614
Texas	TX	48	McLennan	309	Waco	WACO	1370701	31.5514	-97.1558	1906			3008	7295	14445	20686	26425
Utah	UT	49	Salt Lake	35	Salt Lake City	SALTLAKECITY	1454997	40.7608	-111.8910	1903		8236	12854	20768	44843	53531	92777
Washington	WA	53	King	33	Seattle	SEATTLE	1512650	47.6062	-122.3321	1906			1107	3533	42837	80671	237194
Wisconsin	WI	55	Milwaukee	79	Milwaukee	MILWAUKEE	1577901	43.0389	-87.9065	1868	20061	45246	71440	115587	204468	285315	373857
